number,type,height,region,notes
Tas 20230009,larix,10,Tasiusaq,670 m west of hostel 210 m WNW to the shore
Tas 20230010,contorta,8,Tasiusaq,670 m west of hostel 210 m WNW to the shore
Tas 20230011,engelmannii,11,Tasiusaq,670 m west of hostel 210 m WNW to the shore
Tas 20230012,engelmannii,8,Tasiusaq,670 m west of hostel 210 m WNW to the shore
Tas 20230013,larix,11 ,Tasiusaq,670 m west of hostel 210 m WNW to the shore
Tas 20230014,contorta,10,Tasiusaq,670 m west of hostel 210 m WNW to the shore
Tas 20230015,larix,28,Tasiusaq,Patch of boulder 7 m east of the hostel
Tas 20230016,contorta,12,Tasiusaq,Patch of boulder 7 m east of the hostel
Tas 20230017,engelmannii,11,Tasiusaq,Patch of boulder 7 m east of the hostel
Tas 20230020,engelmannii,8,Tasiusaq,below road and above cultivated area
Tas 20230021,larix,15,Tasiusaq,below road and above cultivated area
Tas 20230023,engelmannii,8,Tasiusaq,below road and above cultivated area
Tas 20230024,larix,15,Tasiusaq,below road and above cultivated area
Tas 20230025,contorta,7,Tasiusaq,below road and above cultivated area
Tas 20230026,engelmannii,8,Tasiusaq,below road and above cultivated area
Tas 18 boulders and tires,engelmannii,7,Tasiusaq,Patch of boulders and some tires 12 m east north east of the hostel 
Tas 19 boulders and tires,larix,30,Tasiusaq,Patch of boulders and some tires 12 m east north east of the hostel
Tas Farm 0001,engelmannii,6,Tasiusaq,below road and above cultivated area
Tas Farm 0002,larix,28,Tasiusaq,below road and above cultivated area
Tas Farm 0003,contorta,7,Tasiusaq,below road and above cultivated area
Tas Farm 0004,engelmannii,6,Tasiusaq,below road and above cultivated area
Tas Farm 0005,larix,16,Tasiusaq,below road and above cultivated area
Tas Farm 0006,contorta,5,Tasiusaq,below road and above cultivated area
Tas Farm 0007,engelmannii,9,Tasiusaq,below road and above cultivated area
Tas Farm 0008,larix,14,Tasiusaq,below road and above cultivated area
Tas Farm 0009,engelmannii,11,Tasiusaq,below road and above cultivated area
Tas Farm 0010,engelmannii,11,Tasiusaq,below road and above cultivated area
Tas Farm 0011,engelmannii,8,Tasiusaq,below road and above cultivated area
Tas Farm 0012,larix,17,Tasiusaq,below road and above cultivated area
Tas Farm 0013,engelmannii,10,Tasiusaq,below road and above cultivated area
Tas Farm 0014,larix,14,Tasiusaq,below road and above cultivated area
Tas Farm 0015,contorta,13,Tasiusaq,below road and above cultivated area
Tas Farm 0016,contorta,11,Tasiusaq,below road and above cultivated area
Tas Farm 0017,engelmannii,6,Tasiusaq,below road and above cultivated area
Tas Farm 0018,larix,12,Tasiusaq,below road and above cultivated area
Tas Farm 0019,larix,12,Tasiusaq,below road and above cultivated area
Tas Farm 0020,engelmannii,5,Tasiusaq,below road and above cultivated area
