"Plot Title: QANASIASSAT_UTC_2020"
"#","Date Time, GMT-02:00","Temp, °F (LGR S/N: 20362477, SEN S/N: 20362477)","Event, units (LGR S/N: 20362477, SEN S/N: 20362477, LBL: rain)"
1,08/28/20 09:00:00 PM,61.569,0.00
2,08/28/20 10:00:00 PM,61.569,
3,08/28/20 11:00:00 PM,59.337,
4,08/28/20 11:41:58 PM,,1.00
5,08/28/20 11:57:35 PM,,2.00
6,08/29/20 12:00:00 AM,53.798,
7,08/29/20 12:11:57 AM,,3.00
8,08/29/20 12:18:54 AM,,4.00
9,08/29/20 12:26:37 AM,,5.00
10,08/29/20 12:34:42 AM,,6.00
11,08/29/20 12:53:31 AM,,7.00
12,08/29/20 01:00:00 AM,51.874,
13,08/29/20 01:04:10 AM,,8.00
14,08/29/20 02:00:00 AM,55.884,
15,08/29/20 03:00:00 AM,52.925,
16,08/29/20 04:00:00 AM,55.711,
17,08/29/20 05:00:00 AM,57.268,
18,08/29/20 06:00:00 AM,57.614,
19,08/29/20 07:00:00 AM,59.164,
20,08/29/20 08:00:00 AM,60.883,
21,08/29/20 09:00:00 AM,61.054,
22,08/29/20 10:00:00 AM,62.083,
23,08/29/20 11:00:00 AM,62.083,
24,08/29/20 12:00:00 PM,64.310,
25,08/29/20 01:00:00 PM,67.906,
26,08/29/20 02:00:00 PM,66.879,
27,08/29/20 03:00:00 PM,66.366,
28,08/29/20 04:00:00 PM,68.248,
29,08/29/20 05:00:00 PM,69.278,
30,08/29/20 06:00:00 PM,64.996,
31,08/29/20 07:00:00 PM,62.940,
32,08/29/20 08:00:00 PM,62.769,
33,08/29/20 09:00:00 PM,63.111,
34,08/29/20 10:00:00 PM,62.254,
35,08/29/20 11:00:00 PM,62.425,
36,08/30/20 12:00:00 AM,62.083,
37,08/30/20 01:00:00 AM,60.712,
38,08/30/20 02:00:00 AM,57.614,
39,08/30/20 03:00:00 AM,54.147,
40,08/30/20 04:00:00 AM,54.147,
41,08/30/20 04:07:51 AM,,9.00
42,08/30/20 05:00:00 AM,51.699,
43,08/30/20 06:00:00 AM,54.669,
44,08/30/20 07:00:00 AM,57.441,
45,08/30/20 08:00:00 AM,56.057,
46,08/30/20 09:00:00 AM,53.449,
47,08/30/20 10:00:00 AM,53.623,
48,08/30/20 11:00:00 AM,54.669,
49,08/30/20 12:00:00 PM,52.576,
50,08/30/20 01:00:00 PM,54.669,
51,08/30/20 02:00:00 PM,54.147,
52,08/30/20 03:00:00 PM,54.669,
53,08/30/20 04:00:00 PM,56.230,
54,08/30/20 05:00:00 PM,53.100,
55,08/30/20 06:00:00 PM,54.495,
56,08/30/20 07:00:00 PM,48.517,
57,08/30/20 08:00:00 PM,46.728,
58,08/30/20 09:00:00 PM,45.286,
59,08/30/20 10:00:00 PM,43.648,
60,08/30/20 11:00:00 PM,42.548,
61,08/31/20 12:00:00 AM,41.810,
62,08/31/20 01:00:00 AM,41.067,
63,08/31/20 02:00:00 AM,40.321,
64,08/31/20 03:00:00 AM,39.196,
65,08/31/20 04:00:00 AM,38.250,
66,08/31/20 05:00:00 AM,37.488,
67,08/31/20 06:00:00 AM,37.488,
68,08/31/20 07:00:00 AM,38.250,
69,08/31/20 08:00:00 AM,40.134,
70,08/31/20 09:00:00 AM,44.742,
71,08/31/20 10:00:00 AM,47.982,
72,08/31/20 11:00:00 AM,48.339,
73,08/31/20 12:00:00 PM,50.995,
74,08/31/20 01:00:00 PM,49.759,
75,08/31/20 02:00:00 PM,51.172,
76,08/31/20 03:00:00 PM,51.172,
77,08/31/20 04:00:00 PM,51.523,
78,08/31/20 05:00:00 PM,50.819,
79,08/31/20 06:00:00 PM,49.404,
80,08/31/20 07:00:00 PM,45.104,
81,08/31/20 08:00:00 PM,43.282,
82,08/31/20 09:00:00 PM,44.379,
83,08/31/20 10:00:00 PM,44.742,
84,08/31/20 11:00:00 PM,44.742,
85,09/01/20 12:00:00 AM,46.008,
86,09/01/20 01:00:00 AM,44.379,
87,09/01/20 02:00:00 AM,43.648,
