"Plot Title: QANASIASSAT_UTC_2021"
"#","Date Time, GMT-02:00","Temp, °C (LGR S/N: 20362477, SEN S/N: 20362477)","Event, units (LGR S/N: 20362477, SEN S/N: 20362477, LBL: rain)"
1,08/20/2021 09.00.00 PM,15.378,0.00
2,08/20/2021 10.00.00 PM,15.664,
3,08/20/2021 11.00.00 PM,15.473,
4,08/21/2021 12.00.00 AM,14.421,
5,08/21/2021 01.00.00 AM,14.804,
6,08/21/2021 02.00.00 AM,14.230,
7,08/21/2021 03.00.00 AM,14.996,
8,08/21/2021 04.00.00 AM,14.709,
9,08/21/2021 05.00.00 AM,14.709,
10,08/21/2021 06.00.00 AM,14.709,
11,08/21/2021 07.00.00 AM,14.996,
12,08/21/2021 08.00.00 AM,15.473,
13,08/21/2021 09.00.00 AM,15.378,
14,08/21/2021 10.00.00 AM,15.664,
15,08/21/2021 11.00.00 AM,15.664,
16,08/21/2021 12.00.00 PM,15.664,
17,08/21/2021 01.00.00 PM,15.473,
18,08/21/2021 02.00.00 PM,15.187,
19,08/21/2021 03.00.00 PM,14.709,
20,08/21/2021 04.00.00 PM,15.760,
21,08/21/2021 05.00.00 PM,15.855,
22,08/21/2021 06.00.00 PM,15.855,
23,08/21/2021 07.00.00 PM,15.378,
24,08/21/2021 08.00.00 PM,14.996,
25,08/21/2021 09.00.00 PM,15.855,
26,08/21/2021 10.00.00 PM,14.230,
27,08/21/2021 11.00.00 PM,13.558,
28,08/22/2021 12.00.00 AM,13.942,
29,08/22/2021 01.00.00 AM,14.230,
30,08/22/2021 02.00.00 AM,15.187,
31,08/22/2021 03.00.00 AM,15.091,
32,08/22/2021 04.00.00 AM,15.473,
33,08/22/2021 05.00.00 AM,16.332,
34,08/22/2021 06.00.00 AM,16.141,
35,08/22/2021 07.00.00 AM,15.951,
36,08/22/2021 08.00.00 AM,15.760,
37,08/22/2021 09.00.00 AM,15.664,
38,08/22/2021 10.00.00 AM,18.140,
39,08/22/2021 11.00.00 AM,19.092,
40,08/22/2021 12.00.00 PM,19.567,
41,08/22/2021 01.00.00 PM,19.377,
42,08/22/2021 02.00.00 PM,19.472,
43,08/22/2021 03.00.00 PM,14.996,
44,08/22/2021 04.00.00 PM,18.711,
45,08/22/2021 05.00.00 PM,15.473,
46,08/22/2021 06.00.00 PM,18.711,
47,08/22/2021 07.00.00 PM,16.903,
48,08/22/2021 08.00.00 PM,13.076,
49,08/22/2021 09.00.00 PM,11.139,
50,08/22/2021 10.00.00 PM,9.373,
51,08/22/2021 11.00.00 PM,8.382,
52,08/23/2021 12.00.00 AM,7.882,
53,08/23/2021 01.00.00 AM,7.179,
54,08/23/2021 02.00.00 AM,6.573,
55,08/23/2021 03.00.00 AM,5.757,
56,08/23/2021 04.00.00 AM,5.244,
57,08/23/2021 05.00.00 AM,5.141,
58,08/23/2021 06.00.00 AM,4.934,
59,08/23/2021 07.00.00 AM,5.141,
60,08/23/2021 08.00.00 AM,5.552,
61,08/23/2021 09.00.00 AM,6.877,
62,08/23/2021 10.00.00 AM,8.581,
63,08/23/2021 11.00.00 AM,10.748,
64,08/23/2021 12.00.00 PM,12.401,
65,08/23/2021 01.00.00 PM,13.942,
66,08/23/2021 02.00.00 PM,14.996,
67,08/23/2021 03.00.00 PM,15.951,
68,08/23/2021 04.00.00 PM,15.378,
69,08/23/2021 05.00.00 PM,14.325,
70,08/23/2021 06.00.00 PM,17.475,
71,08/23/2021 07.00.00 PM,15.091,
72,08/23/2021 08.00.00 PM,11.916,
73,08/23/2021 09.00.00 PM,10.161,
74,08/23/2021 10.00.00 PM,9.571,
75,08/23/2021 11.00.00 PM,9.275,
76,08/24/2021 12.00.00 AM,8.581,
77,08/24/2021 01.00.00 AM,8.282,
78,08/24/2021 02.00.00 AM,8.680,
79,08/24/2021 03.00.00 AM,8.581,
80,08/24/2021 04.00.00 AM,8.481,
81,08/24/2021 05.00.00 AM,9.275,
82,08/24/2021 06.00.00 AM,8.879,
83,08/24/2021 07.00.00 AM,8.879,
84,08/24/2021 08.00.00 AM,8.879,
85,08/24/2021 09.00.00 AM,10.063,
86,08/24/2021 10.00.00 AM,10.357,
87,08/24/2021 11.00.00 AM,11.431,
88,08/24/2021 12.00.00 PM,13.942,
89,08/24/2021 01.00.00 PM,15.760,
90,08/24/2021 02.00.00 PM,16.808,
91,08/24/2021 03.00.00 PM,14.996,
92,08/24/2021 04.00.00 PM,14.900,
93,08/24/2021 05.00.00 PM,13.846,
94,08/24/2021 06.00.00 PM,15.187,
95,08/24/2021 07.00.00 PM,13.846,
96,08/24/2021 08.00.00 PM,11.041,
97,08/24/2021 09.00.00 PM,9.571,
98,08/24/2021 10.00.00 PM,8.382,
99,08/24/2021 11.00.00 PM,7.381,
100,08/25/2021 12.00.00 AM,6.775,
101,08/25/2021 01.00.00 AM,6.370,
102,08/25/2021 02.00.00 AM,5.860,
103,08/25/2021 03.00.00 AM,6.064,
104,08/25/2021 04.00.00 AM,6.166,
105,08/25/2021 05.00.00 AM,5.552,
