year,month,tp
2020,1,nan
2020,2,nan
2020,3,nan
2020,4,nan
2020,5,nan
2020,6,nan
2020,7,nan
2020,8,nan
2020,9,173.8
2020,10,102.0
2020,11,63.8
2020,12,68.6
2021,1,60.6
2021,2,4.0
2021,3,33.8
2021,4,20.0
2021,5,35.6
2021,6,117.8
2021,7,111.0
2021,8,121.8
2021,9,53.2
2021,10,16.2
2021,11,314.2
2021,12,79.4
2022,1,40.6
2022,2,0.0
2022,3,5.8
2022,4,6.4
2022,5,32.4
2022,6,118.8
2022,7,12.2
2022,8,166.8
2022,9,208.6
2022,10,73.2
2022,11,21.0
2022,12,18.6
2023,1,11.2
2023,2,32.0
2023,3,3.0
2023,4,4.6
2023,5,81.0
2023,6,91.4
2023,7,43.2
2023,8,nan
2023,9,nan
2023,10,nan
2023,11,nan
2023,12,nan
