"Plot Title: QANASIASSAT_UTC_2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20362477, SEN S/N: 20362477)","Event, units (LGR S/N: 20362477, SEN S/N: 20362477, LBL: rain)"
1,08/25/22 09:00:00 PM,9.768,0.00
2,08/25/22 10:00:00 PM,9.275,
3,08/25/22 11:00:00 PM,9.176,
4,08/26/22 12:00:00 AM,8.382,
5,08/26/22 01:00:00 AM,7.582,
6,08/26/22 02:00:00 AM,7.782,
7,08/26/22 02:09:09 AM,,1.00
8,08/26/22 02:17:54 AM,,2.00
9,08/26/22 02:27:23 AM,,3.00
10,08/26/22 02:33:34 AM,,4.00
11,08/26/22 02:38:21 AM,,5.00
12,08/26/22 02:40:39 AM,,6.00
13,08/26/22 02:46:02 AM,,7.00
14,08/26/22 02:49:52 AM,,8.00
15,08/26/22 02:54:17 AM,,9.00
16,08/26/22 02:57:36 AM,,10.00
17,08/26/22 03:00:00 AM,7.882,
18,08/26/22 03:02:38 AM,,11.00
19,08/26/22 03:05:31 AM,,12.00
20,08/26/22 03:09:30 AM,,13.00
21,08/26/22 03:12:31 AM,,14.00
22,08/26/22 03:16:00 AM,,15.00
23,08/26/22 03:19:47 AM,,16.00
24,08/26/22 03:22:59 AM,,17.00
25,08/26/22 03:25:43 AM,,18.00
26,08/26/22 03:32:02 AM,,19.00
27,08/26/22 03:35:14 AM,,20.00
28,08/26/22 03:41:18 AM,,21.00
29,08/26/22 03:46:50 AM,,22.00
30,08/26/22 03:51:32 AM,,23.00
31,08/26/22 03:54:47 AM,,24.00
32,08/26/22 03:58:47 AM,,25.00
33,08/26/22 04:00:00 AM,7.280,
34,08/26/22 04:02:06 AM,,26.00
35,08/26/22 04:06:46 AM,,27.00
36,08/26/22 04:10:29 AM,,28.00
37,08/26/22 04:13:52 AM,,29.00
38,08/26/22 04:16:47 AM,,30.00
39,08/26/22 04:23:29 AM,,31.00
40,08/26/22 04:27:35 AM,,32.00
41,08/26/22 04:32:52 AM,,33.00
42,08/26/22 04:37:41 AM,,34.00
43,08/26/22 04:42:56 AM,,35.00
44,08/26/22 04:47:37 AM,,36.00
45,08/26/22 04:52:19 AM,,37.00
46,08/26/22 04:56:34 AM,,38.00
47,08/26/22 05:00:00 AM,7.381,
48,08/26/22 05:01:18 AM,,39.00
49,08/26/22 05:04:14 AM,,40.00
50,08/26/22 05:06:41 AM,,41.00
51,08/26/22 05:09:23 AM,,42.00
52,08/26/22 05:14:04 AM,,43.00
53,08/26/22 05:17:09 AM,,44.00
54,08/26/22 05:22:03 AM,,45.00
55,08/26/22 05:26:37 AM,,46.00
56,08/26/22 05:33:56 AM,,47.00
57,08/26/22 05:38:26 AM,,48.00
58,08/26/22 05:43:43 AM,,49.00
59,08/26/22 05:51:21 AM,,50.00
60,08/26/22 06:00:00 AM,7.682,
61,08/26/22 06:02:06 AM,,51.00
62,08/26/22 06:20:08 AM,,52.00
63,08/26/22 06:34:09 AM,,53.00
64,08/26/22 06:50:20 AM,,54.00
65,08/26/22 06:58:36 AM,,55.00
66,08/26/22 07:00:00 AM,7.582,
67,08/26/22 07:04:10 AM,,56.00
68,08/26/22 07:12:42 AM,,57.00
69,08/26/22 07:25:23 AM,,58.00
70,08/26/22 07:44:56 AM,,59.00
71,08/26/22 08:00:00 AM,7.983,
72,08/26/22 08:06:29 AM,,60.00
73,08/26/22 09:00:00 AM,8.481,
74,08/26/22 09:19:23 AM,,61.00
75,08/26/22 10:00:00 AM,8.082,
76,08/26/22 10:07:31 AM,,62.00
77,08/26/22 10:41:54 AM,,63.00
78,08/26/22 11:00:00 AM,8.082,
79,08/26/22 11:07:07 AM,,64.00
80,08/26/22 12:00:00 PM,8.182,
81,08/26/22 01:00:00 PM,8.680,
82,08/26/22 02:00:00 PM,8.978,
83,08/26/22 03:00:00 PM,8.879,
84,08/26/22 04:00:00 PM,8.481,
85,08/26/22 04:31:31 PM,,65.00
86,08/26/22 04:39:05 PM,,66.00
87,08/26/22 04:58:44 PM,,67.00
88,08/26/22 05:00:00 PM,9.472,
89,08/26/22 06:00:00 PM,8.182,
90,08/26/22 06:02:54 PM,,68.00
91,08/26/22 06:20:34 PM,,69.00
92,08/26/22 06:25:54 PM,,70.00
93,08/26/22 06:30:49 PM,,71.00
94,08/26/22 06:34:14 PM,,72.00
95,08/26/22 06:42:25 PM,,73.00
96,08/26/22 06:50:15 PM,,74.00
97,08/26/22 06:57:48 PM,,75.00
98,08/26/22 07:00:00 PM,8.182,
99,08/26/22 07:01:03 PM,,76.00
100,08/26/22 07:04:37 PM,,77.00
101,08/26/22 07:07:41 PM,,78.00
102,08/26/22 07:12:42 PM,,79.00
103,08/26/22 07:16:02 PM,,80.00
104,08/26/22 07:19:24 PM,,81.00
105,08/26/22 07:22:24 PM,,82.00
106,08/26/22 07:29:38 PM,,83.00
107,08/26/22 07:35:24 PM,,84.00
108,08/26/22 07:41:12 PM,,85.00
109,08/26/22 07:44:25 PM,,86.00
110,08/26/22 07:47:19 PM,,87.00
111,08/26/22 07:49:04 PM,,88.00
112,08/26/22 07:51:42 PM,,89.00
113,08/26/22 07:53:36 PM,,90.00
114,08/26/22 07:58:16 PM,,91.00
115,08/26/22 08:00:00 PM,7.381,
116,08/26/22 08:01:15 PM,,92.00
117,08/26/22 08:07:10 PM,,93.00
118,08/26/22 08:13:43 PM,,94.00
119,08/26/22 08:22:27 PM,,95.00
120,08/26/22 08:35:29 PM,,96.00
121,08/26/22 09:00:00 PM,7.682,
122,08/26/22 09:12:05 PM,,97.00
123,08/26/22 09:30:31 PM,,98.00
124,08/26/22 09:36:06 PM,,99.00
125,08/26/22 09:40:31 PM,,100.00
126,08/26/22 09:45:42 PM,,101.00
127,08/26/22 09:49:55 PM,,102.00
128,08/26/22 09:54:38 PM,,103.00
129,08/26/22 09:57:24 PM,,104.00
130,08/26/22 10:00:00 PM,6.877,
